US,UK,ROU,POL,NL,MEX,ITA,FRE,SPA,GER,CZE,BRA
alice,a$$h0l3,bou,pierdol,Kneus,cabrón,allupato,anal,cabrón,bratze,blbec,bicha
free,a$$h0l3s,tampit,dogry.pl,Debiel,caca,ammucchiata,annus,caca,bumse,blbci,bilau
hotmail,a$$hole,cretin,wpierdol,Mongool,chingado,anale,anus,chingado,cock(?!t),buzerant,biscate
laposte,a$$holes,idiot,allegro,Kloothommel,cojones,arrapato,Auschwitz,cojones,damn,buzna,biskate
live,abspritzer,vita,cwel,Klootzak,coño,arruso,auschwitz,coño,darmauslecker,buzny,boceta
msn,adolf,imputit,debil,Tieftoeter,cretino,assatanato,bais,cretino,darmlecker,?ubka,boquete
msn,anal,borat,dziwk,Bosmongool,culero,bastardo,baise,culero,dirne,?ubky,buceta
neuf,anals,fraier,fuck,Sufkut,culo,bagascia,baltringue,culo,dödel,?urák,cacete
orange,analinvader,tembel,gangbang,Anusplug,estupido,baldracca,bastard,estupido,f1ck,?uráci,cagaço
sfr,analinvaders,prost,hitIer,Endeldarmtoerist,gilipollas,battona,batar,gilipollas,fick,debil,cagada
yahoo,anfänger,rapandula,http:,Hoerenjong,guey,balle,batar,guey,flck,dement,cagão
http:,arsch,zdreanta,https:,Teringsnol,idiota,battona,bâtard,idiota,Flittchen,d?vka,cagar
https:,arschficken,repetent,huj,Klootviool,imbecil,belino,batard,imbecil,Fötzchen,d?vky,cagasso
tube8,arschlecker,corigent,hwdp,Kanker,joto,bocchinara,battar,joto,fotze,idiot,caguei
www,arschloch,obosit,jeb,Tering,mamada,Bocchino,battard,mamada,fresse,kráva,caraio
youporn,arse,muist,jebac,Tyfus,mamar,Bofilo,behloul,mamar,fuck,krávy,caráio
 @gmail,arsed,sugator,jebac,Anaaladmiraal,mames,boiata,belef,mames,gangbang,kretén,caralho
(@)(@),arses,sugativa,jebak,Teringtekkel,mamón,busone,belefomouk,mamón,gay,kripl,chochota
[^\s]*,arseface,coaie,jebal,Slet,marica,cacca,belef-o-mouk,marica,hitIer,kunda,cú
alice,arsefaces,morti,jebal,Hoer,maricón,caciocappella,Bitch,maricón,hoden,kundy,cusao
free,arsehole,suge,jebany,Breezerslet,mierda,cagare,bitch,mierda,http:,kurva,cusão
hotmail,arseholes,pula ,jebcie,Befkonijn,pendejo,cagata,bite,pendejo,https:,kurvy,cuzao
laposte,arselicked,pizda,jebie,Kankerlijer,pinche,cappella,bites,pinche,hure,osel,cuzão
live,arselicker,mata,kurev,Kenker,polla,cazzata,bitte,polla,idiot,oslové,foda
msn,arselickers,muie,kurew,Teringlijer,puta,cazzimma,bittes,puta,idioten,pí?a,foda-se
msn,arselicking,cioara,kurv,Tyfuslijer,puto,cazzo,bondage,puto,kack,pí?e,foder
neuf,arsewipe,ciori,kurw,Stoephoer,tarado,checca,bougnoul,tarado,kiff,pošuk,fodeu
orange,arsewipes,avortat,kutas,Snol,verga,chiappa,bougnoule,verga,klöten,pošuci,fodidão
sfr,ass,avorton,pierdal,Lul,zzzzzzfiles,chiavare,bougnoules,zzzzzzfiles,moese,sra?ka,fodidinha
yahoo,assface,corcit,pierdolon,Kut,,chiavata,branl,,möse,zmrd,fodidinho
a$$h0l3,assfaced,infect,pizda,Bosneger,,ciospo,branlage,,muschi,blbost,fodido
a$$hole,assfaces,cur,pizdo,Sukkel,,ciucciami il cazzo,branle,,Muschi,demence,fodidona
abspritzer,assfuck,curva,pojeb,Aarslikker,,coglione,branler,,nigga,prdel,fuder
adolf,assfucked,parasuta,pojeb,Aambeienbeffer,,coglioni,branles,,nigger,blbý,fudeu
anal,assfucker,gaoaza,qrv,Zweetkut,,cornuto,branlette,,nutte,blbá,fudida
anfänger,assfuckers,fute,qrw,Aambeienlikker,,culattina ,branlettes,,p0rn,blbé,fudidão
